,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
12446,,,,,6.03,11.9,13.7,0,1.6,24.5,99.2
12449,,,,,6.49,12.03,14.7,0,1.8,73.9,363.2
12453,,,,,6.2,26.7,20.0,0,2.7,35.6,218.1
12468,,,,,6.19,21.6,48.9,1,4.5,161.7,230.2
12471,,,,,6.21,23.7,16.1,0,1.8,33.4,111.3
12481,,,,,6.02,24.0,32.5,0,3.4,34.9,616.8
12487,,,,,6.02,26.6,44.4,0,4.5,116.6,333.3
12491,,,,,6.16,48.8,26.4,1,3.1,61.2,473.7
12493,,,,,6.33,32.0,21.9,1,2.9,97.2,257.3
12503,,,,,6.38,16.56,11.7,1,1.6,60.9,34.9
12515,,,,,6.06,25.4,11.3,0,1.5,56.6,244.8
12539,,,,,6.22,29.8,17.0,0,1.9,31.1,148.3
12540,,,,,6.42,75.6,36.1,1,3.7,37.6,221.8
12549,,,,,6.23,57.5,36.7,0,3.7,55.7,392.0
12567,,,,,6.0,29.3,27.9,0,3.1,26.9,53.7
12584,,,,,6.19,54.6,29.6,1,3.5,25.7,243.3
12591,,,,,6.03,24.3,16.9,0,2.1,60.8,263.4
12598,,,,,6.39,50.8,41.7,1,4.6,12.2,315.5
12604,,,,,6.13,20.9,20.0,0,2.3,64.3,239.8
12618,,,,,6.22,26.6,26.6,0,3.0,39.3,227.5
12628,,,,,6.33,13.84,10.8,0,1.3,61.2,268.3
12638,,,,,6.42,28.5,14.0,1,1.7,51.0,304.5
12640,,,,,6.25,20.3,32.4,1,4.0,30.3,94.8
12643,,,,,6.09,18.1,11.4,0,1.3,10.3,77.3
12652,,,,,6.0,13.08,13.7,0,1.4,41.4,119.1
12653,,,,,6.14,95.3,46.7,1,5.3,68.6,201.7
12670,,,,,6.38,26.2,31.0,0,3.2,35.6,64.8
12678,,,,,6.02,74.0,57.6,1,6.2,26.2,160.8
12683,,,,,6.34,17.03,11.7,0,1.4,37.0,101.4
12686,,,,,6.45,30.4,12.1,0,1.5,84.3,320.9
12707,,,,,6.28,13.68,16.5,0,1.9,77.2,226.0
12717,,,,,6.0,18.65,9.6,0,1.4,31.8,63.1
12720,,,,,6.2,21.1,11.2,0,1.4,68.5,217.4
12721,,,,,6.15,28.5,10.9,0,1.5,39.5,241.9
