,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
3970,10.0,24.0,11.0,65.0,6.47,35.1,10.9,0,1.5,89.1,162.0
3971,11.0,20.0,16.0,64.0,6.84,12.69,12.9,0,1.5,45.8,177.3
3974,13.0,21.0,12.0,66.0,6.49,13.73,10.5,0,1.3,45.9,251.9
3976,20.0,26.0,11.0,63.0,6.8,19.38,24.8,0,2.1,97.4,359.5
3977,13.0,22.0,16.0,62.0,6.27,14.39,16.3,0,1.4,47.0,124.7
3979,3.0,12.0,67.0,21.0,5.62,25.7,7.6,0,0.9,102.5,252.8
3980,20.0,21.0,14.0,65.0,5.03,49.2,41.3,0,4.5,91.8,324.7
3982,11.0,22.0,16.0,61.0,6.61,15.76,10.9,1,1.4,34.3,204.1
3983,15.0,23.0,11.0,67.0,6.89,10.42,13.1,1,1.6,79.4,341.0
3985,7.0,19.0,22.0,59.0,6.96,17.49,10.3,1,1.3,87.3,179.6
3986,15.0,30.0,12.0,58.0,5.82,21.9,19.5,0,2.4,39.4,235.3
3988,20.0,27.0,14.0,59.0,5.13,50.2,32.0,0,4.1,68.9,280.8
3990,4.0,8.0,60.0,32.0,5.53,11.31,27.5,0,2.4,30.6,59.6
3991,5.0,14.0,31.0,55.0,6.33,41.1,27.2,0,3.1,113.5,497.6
3994,9.0,15.0,43.0,42.0,6.69,20.3,8.6,0,1.1,93.9,275.5
3995,8.0,20.0,19.0,60.0,6.49,39.5,11.7,0,1.4,59.5,412.3
